
> goodreads@1.0.0 summary-year
> NODE_OPTIONS='--loader ts-node/esm --no-warnings' node src/index.ts summary-year

🔑 Goodreads session cookies found (No JWT present to verify expiration date).


📊 Publication Year Summary:
----------------------------
   8: 2 books
 100: 2 books
 110: 1 books
 116: 1 books
 121: 1 books
 125: 1 books
 150: 1 books
 159: 1 books
 170: 1 books
 171: 1 books
 180: 2 books
 318: 1 books
 324: 1 books
 336: 1 books
 351: 2 books
 363: 1 books
 381: 1 books
 400: 2 books
 401: 2 books
 412: 1 books
 426: 1 books
 431: 1 books
 501: 1 books
 524: 1 books
 550: 1 books
 632: 9 books
 701: 1 books
 731: 1 books
 800: 1 books
 801: 1 books
1000: 1 books
1018: 1 books
1120: 2 books
1136: 1 books
1140: 1 books
1170: 1 books
1220: 1 books
1270: 1 books
1273: 1 books
1274: 1 books
1320: 1 books
1321: 1 books
1349: 1 books
1350: 1 books
1375: 1 books
1377: 1 books
1400: 1 books
1427: 1 books
1485: 1 books
1508: 1 books
1513: 1 books
1516: 1 books
1517: 1 books
1521: 1 books
1524: 1 books
1536: 1 books
1543: 1 books
1550: 1 books
1552: 1 books
1558: 1 books
1563: 1 books
1568: 1 books
1580: 2 books
1588: 1 books
1590: 2 books
1593: 1 books
1594: 1 books
1595: 1 books
1596: 1 books
1597: 1 books
1598: 1 books
1599: 1 books
1601: 1 books
1603: 1 books
1604: 1 books
1605: 2 books
1606: 1 books
1608: 1 books
1609: 2 books
1610: 2 books
1611: 1 books
1614: 1 books
1619: 1 books
1621: 1 books
1623: 3 books
1632: 1 books
1633: 1 books
1634: 1 books
1637: 2 books
1641: 1 books
1645: 1 books
1651: 1 books
1664: 1 books
1665: 1 books
1666: 1 books
1667: 1 books
1670: 2 books
1677: 1 books
1678: 2 books
1687: 1 books
1688: 1 books
1689: 2 books
1690: 1 books
1692: 1 books
1697: 1 books
1710: 1 books
1716: 2 books
1717: 1 books
1719: 1 books
1722: 2 books
1724: 1 books
1726: 1 books
1728: 1 books
1729: 1 books
1732: 1 books
1734: 1 books
1739: 1 books
1740: 1 books
1741: 1 books
1746: 1 books
1748: 2 books
1749: 1 books
1750: 1 books
1751: 1 books
1752: 1 books
1754: 1 books
1755: 2 books
1756: 1 books
1757: 2 books
1759: 3 books
1760: 1 books
1762: 3 books
1764: 1 books
1766: 1 books
1767: 1 books
1768: 1 books
1769: 1 books
1773: 2 books
